Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
PROTERGIA,2024,8,Value Student,9.90,0.001,9.90,,0.001,,Αορίστου Διάρκειας,Φοιτητικό Πρόγραμμα. (Μηδενική κυμαινόμενη χρέωση προμήθειας για τις πρώτες 115kWh κάθε μήνα).
ΖΕΝΙΘ,2024,10,Power Home Smart Night,5.00,0.13227,5.00,,0.06614,"40% Έκπτωση επί της βασικής τιμής προμήθειας για πελάτες με έναρξη σύμβασης από τον Αύγουστο 2024, 5% έκπτωση διπλής σύμβασης Ηλεκτρικής Ενέργειας και Φυσικού Αερίου και 5% έκτπωση συνέπειας.",Αορίστου Διάρκειας,"Νυχτερινή Χρέωση 122,27 €/MWh ή 61,14 €/MWh μετά την εφαρμογή εκπτώσεων."
ΕΛΙΝΟΙΛ,2025,1,Power On! Hybrid 100,0KWh - 100KWh   7.90 101KWh +   0.00,0KWh - 100KWh   0.0699 101KWh +   Η τιμή δεν είναι ακόμα γνωστή,"0KWh - 100KWh
7.90
101KWh +
0.00",,"0KWh - 100KWh
0.0699
101KWh +
Η τιμή δεν είναι ακόμα γνωστή",,12,Η τιμή του Ιανουαρίου 2025 θα δημοσιευτεί τον Φεβρουάριο του 2025
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,9,Ρεύμα MAXI Home Super Save+,6.00,0.072,6.00,,0.072,,Αορίστου Διάρκειας,"Η τιμή 0,072 €/kWh αφορά προωθητική ενέργεια για τον Σεπτέμβριο 2024. Από Οκτώβρη 2024, το πρόγραμμα θα είναι κυμαινόμενο (ex-post) όπου η τιμή θα ανακοινωθεί τον Νοέμβριο 2024."
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,10,Ρεύμα MAXI Home Super Save+ Oct,6.00,0.072,6.00,,0.072,,Αορίστου Διάρκειας,"Η τιμή 0,072 €/kWh αφορά προωθητική ενέργεια για τον Οκτώβριο 2024. Από τον Νοέμβρη 2024, το πρόγραμμα θα είναι κυμαινόμενο (ex-post) όπου η τιμή θα ανακοινωθεί τον Δεκέμβρη 2024."
ΖΕΝΙΘ,2024,4,Power Home Special,5.00,0.0837,5.00,,0.0737,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου,Αορίστου Διάρκειας,Χρέωση νυχτερινού 63.70 €/MWh
ΖΕΝΙΘ,2024,9,Power Home Smart Night,5.00,0.1576,5.00,,0.0738,"40% Έκπτωση επί της βασικής τιμής προμήθειας για πελάτες με έναρξη σύμβασης από τον Αύγουστο 2024, 5% έκπτωση διπλής σύμβασης Ηλεκτρικής Ενέργειας και Φυσικού Αερίου και 5% έκτπωση συνέπειας.",Αορίστου Διάρκειας,"Νυχτερινή Χρέωση 147,60 €/MWh ή 73,80 μετά την εφαρμογή εκτώσεων."
ΖΕΝΙΘ,2024,11,"Power Home Select \""Promo 6 Πάγια\""",5.00,0.19257,5.00,"Μηδενικό πάγιο για τους πρώτους 6 μήνες κατανάλωσης, εκ των 12.",0.077,,Αορίστου Διάρκειας,Τιμή χωρίς έκπτωση Dual Energy - 85 €/MWh.
ΖΕΝΙΘ,2024,10,"Power Home Select \""Promo 6 Πάγια\""",5.00,0.13877,0.00,"Μηδενικό πάγιο για τους πρώτους 6 μήνες κατανάλωσης, εκ των 12.",0.077,,Αορίστου Διάρκειας,Τιμή χωρίς έκπτωση Dual Energy - 85 €/MWh.
ΖΕΝΙΘ,2024,12,"Power Home Select \""Promo 6 Πάγια\""",5.00,0.18393,5.00,"Μηδενικό πάγιο για τους πρώτους 6 μήνες κατανάλωσης, εκ των 12.",0.077,Εγγύηση μέγιστης τιμής 0.085 €/kwh ή 0.077 €/kwh για πελάτες DUAL ENERGY,Αορίστου Διάρκειας,"Η εγγύηση μέγιστης τιμής θα ισχύει από τον Νοέμβριο 2024 έως και τον Φεβρουάριο 2025. Χαρίζονται τα πάγια για τον 1ο
, 2ο
, 4ο
, 5ο
, 11ο και 12ο μήνα της σύμβασης"
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,Maxi Home Super Save,6.00,0.077,6.00,,0.077,,Αορίστου Διάρκειας,Η παρούσα τελική τιμή προμήθειας δεν επηρεάζεται από λοιπές εκπτώσεις και αφορά μόνο τον μήνα Ιούλιο.
ΔΕΗ,2024,5,MyHome 4All,5.00,0.08113,4.90,Πάγια εντολή,0.07803,20% οριζόντια έκπτωση στη ΒασικήΤιμή Προμήθειας χωρίς προϋποθέσεις  2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 57.75 €/MWh.  Αφορά σε συμβάσεις έως 29/2/2024.
ΔΕΗ,2024,3,MyHome 4All,5.00,0.08283,4.90,Πάγια εντολή,0.07973,20% οριζόντια έκπτωση στη ΒασικήΤιμή Προμήθειας χωρίς προϋποθέσεις  2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 59.45 €/MWh.  Αφορά σε συμβάσεις έως 29/2/2024.
ΖΕΝΙΘ,2024,4,Power Home More,5.00,0.0892,5.00,,0.0803,Συνέπεια (5%) και Παράλληλη ενεργή σύμβαση Φυσικού Αερίου (5%),Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,3,Ειδικό,5.00,0.08182,5.00,,0.08182,,Αορίστου Διάρκειας,
VOLTON,2024,6,VOLTON YELLOW SIMPLE PROTECT June - August,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Ιούνιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh. Από 02/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,6,VOLTON YELLOW SIMPLE PROTECT,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Ιούνιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh. Από 05/06 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,7,VOLTON YELLOW SIMPLE PROTECT June - August,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Ιούλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh. Από 02/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,4,VOLTON YELLOW SIMPLE PROTECT,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Απρίλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh
VOLTON,2024,7,VOLTON YELLOW SIMPLE PROTECT,4.90,0.083,4.90,,0.083,Συνέπεια,12,Από 05/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Απρίλιο/Μάιο/ Ιούνιο και Ιούλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
VOLTON,2024,8,VOLTON YELLOW SIMPLE PROTECT June - August,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Αύγουστο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh. Από 02/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,5,VOLTON YELLOW SIMPLE PROTECT,4.90,0.083,4.90,,0.083,Συνέπεια,12,Για το μήνα Μάιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανέρχεται στα 83€/MWh
ΖΕΝΙΘ,2024,4,Power Home Choice,1.00,0.0837,1.00,,0.0837,,Αορίστου Διάρκειας,Διατίθεται με επιπλέον εμπορική προσφορά.
ΖΕΝΙΘ,2024,8,Power Home Smart Night,1.00,0.17745,1.00,,0.08373,"Συνέπεια (5%) και παράλληλη σύμβαση Φυσικού Αερίου (5%). Επεπλέον έκπτωση (αθροιστικά έως 30%) για νέες συμβασεις μεταξύ 17-31 Ιουλίου 2024. Αντίστοιχες νυχτερινές χρεώσεις 177.45 €/MWh (πρό εκπτωσης) και 83,73 €/MWh (με έκπτωση έως 50%)",Αορίστου Διάρκειας,"Νυχτερινή Χρέωση 167,45 €/MWh ή 83,73 €/MWh μετά την εφαρμογή εκπτώσεων."
ΖΕΝΙΘ,2024,3,Power Home Special,5.00,0.09393,5.00,,0.08393,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου,Αορίστου Διάρκειας,Χρέωση νυχτερινού 73.93 €/MWh
ELPEDISON,2024,5,ELPEDISON Smart Up,4.00,0.085,4.00,,0.085,,12,Για το μήνα Απρίλιο και Μάιο ισχύει ειδική προωθητική ενέργεια καθορισμένης Χρέωσης Προμήθειας στα 0.085 €/kWh. Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,4,ELPEDISON Smart Up,4.00,0.085,4.00,,0.085,,12,Για το μήνα Απρίλιο και Μάιο ισχύει ειδική προωθητική ενέργεια καθορισμένης Χρέωσης Προμήθειας στα 0.085 €/kWh.
PROTERGIA,2024,11,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,Αορίστου Διάρκειας,
PROTERGIA,2024,12,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,6,
PROTERGIA,2025,1,Value Secure 6 Μήνες,9.90,0.119,9.90,,0.085,Συνέπεια,6,
